SKU,Barcode,Marca,Nombre,Precio_original,Precio_+20%,Precio_tachado,Stock,Descripcion,Imagen,URL_producto,Proveedor
OBKEV37AL,8019606348418,Givi,Maleta Lateral Trekker Outback Evo 37 Smart Alum Izquierda,369.9,443.88,411.0,5,,https://estaticos.elmotorista.es/prod_images/givi/505602298art/givi/maleta-lateral-trekker-outback-evo-37-smart-alum-izquierda-478421_200.webp,maleta-lateral-trekker-outback-evo-37-smart-alum-izquierda-obkev37al1,elmotorista.es
EA115BK,8019606210111,Givi,Bolso Sillin Givi Easy-T 40l Impermeable Ng,61.99,74.39,75.0,+10,,https://estaticos.elmotorista.es/prod_images/givi/504115559art/givi/bolso-sillin-givi-easy-t-40l-impermeable-ng-499524_200.webp,bolso-sillin-givi-easy-t-40l-impermeable-ng-ea115bk,elmotorista.es
BF11,8019606147684,Givi,Tank-Lock Bmw Multistrada Krs 1200 10>13/00>04 K1200r,16.47,19.76,19.95,1,,https://estaticos.elmotorista.es/prod_images/givi/503328584art/givi/tank-lock-bmw-multistrada-krs-1200-10-13-00-04-k1200r-498961_200.webp,tank-lock-bmw-multistrada-krs-1200-10-13-00-04-k1200r-bf11,elmotorista.es
E131,8019606144676,Givi,Respaldo Maleta Givi  B37/B47,29.34,35.21,35.5,+10,,https://estaticos.elmotorista.es/prod_images/givi/503441000art/givi/respaldo-b37-b47-498731_200.webp,respaldo-b37-b47-e131,elmotorista.es
D0B29100,8430358507265,Shad,Baulete Sh-29 New Ng,68.43,82.12,76.02,+10,,https://estaticos.elmotorista.es/prod_images/shad/503254776art/shad/baulete-sh-29-new-ng-412689_200.webp,baulete-sh-29-new-ng-5032547761,elmotorista.es
SR6106,8019606183934,Givi,Fijacion Ml Kymco Agility City 125 (14-25),27.26,32.71,33.0,+10,,https://estaticos.elmotorista.es/prod_images/givi/504181348art/givi/fijacion-ml-kymco-agility-city-125-14-25-262455_200.webp,fijacion-ml-kymco-agility-50-125-150-200-r16-14-18-sr6106,elmotorista.es
PLO1178MK,8019606258335,Givi,Portamaletas Lateral Pl One-Fit Honda Crf1100l Africa Twin A,208.69,250.43,252.5,1,,https://estaticos.elmotorista.es/prod_images/givi/504637267art/givi/portamaletas-lateral-pl-one-fit-honda-crf1100l-africa-twin-a-501558_200.webp,portamaletas-lateral-pl-one-fit-honda-crf1100l-africa-twin-a-s-20-plo1178mk,elmotorista.es
R0VN13ST,8430358688445,Shad,Fijacion Top Master Rieju Aventura 125,35.24,42.29,39.16,+10,,https://estaticos.elmotorista.es/prod_images/shad/505385563art/shad/fijacion-top-master-rieju-aventura-125-415898_200.webp,top-master-rieju-aventura-125-r0vn13st,elmotorista.es
SR6112,8019606238849,Givi,Fijacion Kymco Xciting 400s 18-24 Mk/Ml,80.17,96.2,97.01,4,,https://estaticos.elmotorista.es/prod_images/givi/504396363art/givi/fijacion-kymco-xciting-400s-18-24-mk-ml-305347_200.webp,fijacion-kymco-xciting-400s-18-24-mk-ml-504396363,elmotorista.es
TRT.00.787.16001/B,4052572218068,Sw-motech,Anillo Deposito Pro Ng,30.0,36.0,,8,,https://estaticos.elmotorista.es/prod_images/sw-motech/505599322art/sw-motech/anillo-deposito-pro-ng-447028_200.webp,anillo-deposito-pro-ng-trt-00-787-16001-b,elmotorista.es
W0FG78ST,8430358665439,Shad,Fijacion Top Master Bmw F750gs /F850gs,114.34,137.21,127.05,2,,https://estaticos.elmotorista.es/prod_images/shad/504612224art/shad/fijacion-top-master-bmw-f750gs-f850gs-412533_200.webp,fijacion-top-master-bmw-f750gs-f850gs-w0fg78st1,elmotorista.es
TRT.00.787.30000/B,4052572189368,Sw-motech,Anillo Deposito Pro Ng,60.0,72.0,,7,,https://estaticos.elmotorista.es/prod_images/sw-motech/505599339art/sw-motech/anillo-deposito-pro-ng-447050_200.webp,anillo-deposito-pro-ng-trt-00-787-30000-b,elmotorista.es
BF25,8019606203458,Givi,Tank-Lock Honda Africa Twin Adventure Sports 18,16.47,19.76,19.95,9,,https://estaticos.elmotorista.es/prod_images/givi/503908608art/givi/tank-lock-honda-africa-twin-adventure-sports-18-230509_200.webp,tank-lock-honda-africa-twin-adventure-sports-18-bf25,elmotorista.es
CM328304,,Piaggio,Baul 36l Vespa Gts Supertech Blu Dy (S/Respaldo),254.32,305.18,289.0,5,,https://estaticos.elmotorista.es/prod_images/piaggio/505689283art/piaggio/baul-36l-vespa-gts-supertech-blu-dy-s-respaldo-521832_200.webp,baul-36l-vespa-gts-supertech-blu-dy-s-respaldo-cm328304,elmotorista.es
SR1171,8019606349743,Givi,Soporte Honda Nx 500 (2024),84.3,101.16,102.0,9,,https://estaticos.elmotorista.es/prod_images/givi/505465970art/givi/soporte-honda-nx-500-2024-443672_200.webp,soporte-honda-nx-500-2024-sr1171,elmotorista.es
